task,time,id,points
start Task,17:27:47,-NrIZqUf_txWx1zPaZXR,
eating a uncrustable,17:28:04,-NrIZulb4MXR36e-P-gy,
oh my God it's over,17:31:55,-NrI_n1ynzJBsVEYtR6e,
end task,17:35:07,-NrIaWiMiQeJTdzTPBfI,7.0
end task,17:35:07,-NrIaWlZNqoRxeWzu7Aq,
start DCR,17:35:17,-NrIaZIqN9ZIbWsqh7z6,
is this going to work,17:38:20,-NrIbG2gVSH-7I2LaAsp,
eating another uncrustable,17:40:05,-NrIbebeo4QTzCQzDcBN,
maybe there should be a rule where I can't snort while watching YouTube,17:55:06,-NrIf6nx9qjfbDrfCz9y,
50 mg,17:59:28,-NrIg5i9ubGm3DaHKWzb,
50 mg,18:39:47,-NrIpJys654i1P5yTZtD,
55 mg,18:58:05,-NrItWCGWBeJSyM_Dmbz,
that broccoli cheddar soup really slowed me down,18:58:23,-NrIt_fUps9uVrWL2l-S,
60 mg,19:08:12,-NrIvpJJEzBNWpAeOOub,
