Index,task,time,id,points,DCR time,points2,DCR time2
0,assuming it's only chapters 7 and 8 that leaves 88 pages to be read,00:00:00,-NrdZyetwLxkrZKm3fNu,,,,
1,start Task studying for midterm,00:02:00,-Nrd_QwW-rOJQMyD3wM1,,,,
2,end task,00:02:42,-Nrd__wpQoi3i8S8zBUT,,,,
3,end task,00:02:42,-Nrd_a-AEHk23MK0OqbW,,,,
4,start Task studying for midterm,00:02:58,-Nrd_e71S6lG67tbWN0F,,,,
5,end task,00:04:54,-Nrda5EiVBjqGbPk9CwS,1,,,
6,end task,00:04:54,-Nrda5HpMit85Ft3xdVE,,,,
7,start Task,00:05:04,-Nrda7hk3CtIbWt-KPw0,,,,
8,okay I'm done fussing I'm actually going to start reading now,00:12:48,-Nrdbu6b4WfnXDdvtn3t,,,,
9,page 531,00:26:20,-Nrdf-FH47AtBPhq5cgP,,,,
10,page 532,00:37:46,-NrdhbjFL9K1UJa7wVBC,,,,
11,page 534,00:56:56,-Nrdm-QB_bmhfhSXQuMq,,,,
12,page 535,01:06:51,-NrdoGj7mVI7yG21mkhY,,,,
13,page 536,01:24:36,-NrdsKtMRtUzBuuatK7m,,,,
14,page 537,01:34:23,-Nrdu_5msDbUwwg9tc2Y,,,,
15,page 538,01:39:15,-NrdvgNTPxIoqNlCF2-2,,,,
16,end task,01:40:28,-NrdvyDzJep2TAfb9kWd,95,,,
17,end task,01:40:28,-NrdvyHYhmKNHyw374sK,,,,
18,start DCR,01:55:01,-NrdzIGvmYpFRlwSENNW,,,,
19,what's page,01:55:36,-NrdzQxOnXF8aZ8wW7Vd,,,,
20,page 561 e text,01:55:44,-NrdzSozNFsa8xZ2KLSK,,,,
21,end DCR,02:39:41,-Nre8WbwFvfqV5dhWn_h,,44,,
22,end DCR,02:39:41,-Nre8WfToo3FTRmQhaeq,,,,
Total,,,,96,44,0.0,0.0
